顺位,用时,开始时间,规则,牌谱,段位,pt,获得pt,R值,1位玩家,1位得点,2位玩家,2位得点,3位玩家,3位得点,4位玩家,4位得点,虚拟段位,虚拟pt,虚拟获得pt,By nodocchi.moe
1位,8分,2014-11-29 07:51,四般東喰赤－,https://tenhou.net/3/?log=2014112908gm-0001-0000-3dabb7a7&tw=2,４级,60,30,,CLS,53.0,ぐぬぬーー,10.0,NoName,-24.0,ｈｍｐｍ０９０２,-39.0,,,
2位,24分,2014-11-29 08:06,四般東喰赤－,https://tenhou.net/3/?log=2014112909gm-0001-0000-92439b89&tw=2,３级,0,0,,ねむい,50.0,CLS,7.0,すしおうじ,-15.0,NoName,-42.0,,,
1位,15分,2014-11-29 21:52,四般東喰赤－,https://tenhou.net/3/?log=2014112922gm-0001-0000-ac173da5&tw=0,３级,0,30,,CLS,42.0,仁さん,8.0,モチモチの実,-16.0,abby3002,-34.0,,,
1位,14分,2014-11-29 22:08,四般東喰赤－,https://tenhou.net/3/?log=2014112923gm-0001-0000-23802b5c&tw=3,３级,30,30,,CLS,47.0,kerodon,5.0,QUIT30,-17.0,茶太朗,-35.0,,,
2位,4分,2014-11-29 22:23,四般東喰赤－,https://tenhou.net/3/?log=2014112923gm-0001-0000-5b643236&tw=2,３级,60,0,,NoName,60.0,CLS,8.0,ふぇいｚほうれ,-15.0,yan9011,-53.0,,,
1位,31分,2014-11-29 23:37,四般東喰赤－,https://tenhou.net/3/?log=2014113000gm-0001-0000-5f67b3ca&tw=1,３级,60,30,,CLS,50.0,xiaosaki,8.0,☆☆ノン☆☆,-16.0,NoName,-42.0,,,
2位,9分,2014-11-30 00:13,四般東喰赤－,https://tenhou.net/3/?log=2014113001gm-0001-0000-3856850d&tw=2,３级,90,0,,大坪,44.0,CLS,7.0,NoName,-16.0,taketaku,-35.0,,,
3位,14分,2014-11-30 00:23,四般東喰赤－,https://tenhou.net/3/?log=2014113001gm-0001-0000-5c5fe9b7&tw=1,３级,90,0,,tyianie,41.0,196333,6.0,CLS,-18.0,sagami△,-29.0,,,
3位,18分,2014-11-30 00:37,四般東喰赤－,https://tenhou.net/3/?log=2014113001gm-0001-0000-262145fb&tw=0,３级,90,0,,行方知レズ,45.0,ペンタ郎,8.0,CLS,-17.0,NoName,-36.0,,,
2位,10分,2014-11-30 00:56,四般東喰赤－,https://tenhou.net/3/?log=2014113001gm-0001-0000-7714ff6a&tw=0,３级,90,0,,NoName,57.0,CLS,6.0,tyr,-26.0,chatrang,-37.0,,,
1位,16分,2014-11-30 01:07,四般東喰赤－,https://tenhou.net/3/?log=2014113002gm-0001-0000-1e2af4dd&tw=2,３级,90,30,,CLS,56.0,NoName,5.0,momoclo,-15.0,マータンキ,-46.0,,,
1位,11分,2014-11-30 01:24,四般東喰赤－,https://tenhou.net/3/?log=2014113002gm-0001-0000-1796e713&tw=0,２级,0,30,,CLS,68.0,チョロ桜,13.0,NoName,-28.0,MND,-53.0,,,
2位,10分,2014-11-30 01:35,四般東喰赤－,https://tenhou.net/3/?log=2014113002gm-0001-0000-06b59520&tw=0,２级,30,0,,konitaso,48.0,CLS,9.0,you50829,-17.0,NoName,-40.0,,,
1位,16分,2014-11-30 01:46,四般東喰赤－,https://tenhou.net/3/?log=2014113002gm-0001-0000-4beec054&tw=3,２级,30,30,,CLS,64.0,shin2,8.0,ジャージ娘,-23.0,NOTNAME,-49.0,,,
1位,19分,2014-11-30 02:09,四般東喰赤－,https://tenhou.net/3/?log=2014113003gm-0001-0000-c4dad6b4&tw=0,２级,60,30,,CLS,52.0,fffk,12.0,洸,-22.0,NoName,-42.0,,,
3位,12分,2014-11-30 02:29,四般東喰赤－,https://tenhou.net/3/?log=2014113003gm-0001-0000-47de8c36&tw=0,２级,90,0,,ミカソたん♪,59.0,洸,12.0,CLS,-20.0,キモサベ,-51.0,,,
1位,16分,2014-11-30 02:43,四般東喰赤－,https://tenhou.net/3/?log=2014113003gm-0001-0000-54efc231&tw=2,２级,90,30,,CLS,46.0,NoName,9.0,あんだー,-22.0,Rrrrref,-33.0,,,
